n_par, mase, smape, msis, time_mapred, time_forec, time_modeval
1,  1.108283, 62.115312, 4.765800, 194.481662, 5.174817, 0.080994
5,  1.110318, 62.320242, 5.519498, 108.757445, 5.053671, 0.051017
15, 1.106752, 61.906620, 4.752876, 118.043492, 4.960865, 0.083525
30, 1.106529, 61.996234, 4.434382, 120.576213, 5.057091, 0.047205
45, 1.108768, 62.112177, 4.374151,  96.203076, 4.748119, 0.066685
60, 1.106885, 61.975828, 4.341971, 112.298391, 5.013175, 0.079032
75, 1.108095, 62.094094, 4.293535, 101.802109, 4.985467, 0.091605
100,1.111263, 62.427913, 4.177812, 138.652572, 5.095255, 0.046033
150,1.111263, 62.427913, 4.177812, 128.903188, 4.708830, 0.055779
200,1.109542, 62.306622, 4.147000, 149.862234, 5.093068, 0.093235
250,1.111226, 62.424798, 4.206645, 162.093689, 4.716257, 0.048928
300,1.107220, 62.105127, 4.764722, 177.363756, 4.984139, 0.083764
400,1.111015, 62.401157, 6.031953, 152.939372, 4.765788, 0.080982
500,1.090728, 61.053522, 9.540576, 172.974554, 4.725918, 0.043562
600,1.090227, 60.253666,14.520577, 189.535297, 4.797115, 0.045384